title,label,ai_category,ai_reason,extracted_salary,extracted_pos
"🍊🍊🍊KHỐI NHÀ HÀNG CỤM 43TOWN TUYỂN DỤNG 🍊🍊🍊
🔰VIETART F&B là đơn vị phát triển hệ thống The Cups coffee, B&B bakery, Ari sushi, lẩu hấp thủy nhiệt Ocean Pot, nướng Koko House, Le Four – Steak & Pizza, Hàng Gánh, Buffet hải sản 4SEAs, PocPoc Beer.....
🔥 VIETART ĐANG TÌM KIẾM  CÁC CỘNG SỰ CHO VỊ TRÍ:
 LỄ TÂN TẠI NHÀ HÀNG ( Ycầu giao tiếp ngoại ngữ: Anh - Hàn hoặc Anh - Nga )
🍎 PHÚC LỢI FULLTIME:
⛳️ Thời gian làm việc: 8 tiếng/ngày (theo ca: 8h-16h30 hoặc 14h – 22h30), tuần nghỉ 01 ngày
⛳️Phụ cấp cơm ca >500k/tháng, voucher chuyên cần 200k
⛳️Chế độ bảo hiểm, thưởng lễ tết, sinh nhật, lương tháng 13…
⛳️Review lương hàng năm, ưu đãi dịch vụ chuỗi hệ thống cho nhân viên
⛳️Nghỉ 01 ngày/tuần, 12 ngày phép/năm, mỗi 5 năm thêm 01 ngày phép
📋 Inbox trực tiếp và nhanh tay gửi CV vào mail: hr@vietartfb.vn hoặc call: 0941 016 464
📍 Địa điểm làm việc: 
Cụm 43Town -  268 Võ Nguyên Giáp, Mỹ An, Ngũ Hành Sơn, TP. Đà Nẵng.
Hàng Gánh - 51 Trần Bạch Đằng, Mỹ An, Ngũ Hành Sơn, TP. Đà Nẵng
👉 GỬI CV LIỀN CHO CHÚNG TÔI NHÉ ^^
-----------------------------------
VIETART F&B
Vietart tuyển dụng: https://www.facebook.com/tuyendungvietart",1,RECRUITMENT,"Có địa chỉ cụ thể (Số nhà + Tên đường + Quận + TP), tên thương hiệu rõ ràng (Vietart F&B, The Cups coffee, B&B bakery...), mô tả công việc chi tiết, mức lương không đề cập nhưng có phúc lợi rõ ràng",,Lễ tân tại nhà hàng
"📞 TUYỂN DỤNG NHÂN VIÊN GIẢI ĐÁP KHÁCH HÀNG TỔNG ĐÀI VIETTEL – ĐÀ NẴNG
📩 LIÊN HỆ ỨNG TUYỂN
📞 Điện thoại/Zalo: 0368.757.743
📧 Email: anhmn@callcenter.vn
📍 Địa điểm làm việc
Tầng 1, 215 Phan Đăng Lưu, Khuê Trung, Cẩm Lệ, Đà Nẵng.
📋 MÔ TẢ CÔNG VIỆC
Vị trí: Nhân viên Giải đáp Khách hàng Tổng đài Viettel
Nhiệm vụ chính:
Tiếp nhận cuộc gọi từ khách hàng Viettel.
Giải đáp các thắc mắc, hỗ trợ vấn đề dịch vụ.
Đặc điểm công việc:
Làm việc tại văn phòng 100%.
Không đi thị trường.
Không chạy doanh số.
⏰ THỜI GIAN LÀM VIỆC (THEO CA CỐ ĐỊNH)
Ca 1: 06h30 – 14h30
Ca 2: 14h30 – 22h30
(Làm cố định 1 ca/ngày, không xoay ca)
💰 THU NHẬP
6.000.000 – 9.000.000 VNĐ/tháng
(Thu nhập gồm: lương cứng + phụ cấp + thưởng hiệu quả)
✔️ YÊU CẦU ỨNG VIÊN
Tốt nghiệp Trung cấp trở lên.
Giọng nói rõ ràng, dễ nghe; xử lý tình huống tốt.
Không tuyển sinh viên đang học.",1,RECRUITMENT,"Địa chỉ rõ ràng (Số nhà + Tên đường + Khu phố + Quận + Thành phố), công việc cụ thể, mức lương hợp lý",6.000.000 – 9.000.000 VNĐ/tháng,Nhân viên Giải đáp Khách hàng Tổng đài Viettel
"Địa chỉ làm việc: 114 Huyền Trân Công Chúa, phường Hoà Hải, quận Ngũ Hành Sơn, TP. Đà Nẵng
🎯 CẦN NHÂN VIÊN TRANG SỨC – ĐÁ MỸ NGHỆ CA SÁNG
❌ Vị trí: Nhân viên đóng đơn Part-time
⏰ Thời gian làm việc:
• Ca sáng: 7h30 – 12h30
(Xoay ca linh hoạt theo lịch học- hỗ trợ 1-2 buổi chiều xoay ca)
💸 Thu nhập: 22.000đ/giờ + thưởng
👉 Gắn bó >3 tháng được xét tăng lương
🔎 Mô tả công việc:
• Đóng gói sản phẩm theo đơn hàng đã chốt
• Kiểm hàng, nhập tồn, sắp xếp kho gọn gàng
• Hỗ trợ tư vấn bán hàng
🌟 Phúc lợi:
✔ Hỗ trợ ăn uống nhẹ giữa ca
✔ Tham gia team building, hoạt động nội bộ vui vẻ
✔ Môi trường trẻ trung, năng động, làm việc với trang sức & đá quý cao cấp
✔ Thưởng Lễ, Tết, thưởng hiệu suất theo tháng
✅ Yêu cầu:
• Sinh viên năm 2, 3 (ưu tiên đã có kinh nghiệm đi làm)
• Nhanh nhẹn, trung thực, có trách nhiệm
• Tỉ mỉ, chịu khó trong công việc
📲 LH ngay:
➡ Gửi CV hoặc nhắn trực tiếp qua Zalo: 0375 270 025 (Thuý Hằng)
📆 Đi làm ngay sau khi đạt phỏng vấn!",1,RECRUITMENT,"Địa chỉ cụ thể (Số nhà + Tên đường + Phường + Quận + TP), công việc rõ ràng, mức lương hợp lý, yêu cầu rõ ràng, có thông tin liên hệ trực tiếp",22.000đ/giờ,Nhân viên trang sức – Đá mỹ nghệ
"Cần người phụ làm rau quán bánh xèo, từ 07h00-11h30, làm luôn, tại 15 nguyễn đình chiểu, dt 0905604031",1,RECRUITMENT,"Địa chỉ cụ thể (Số nhà + Tên đường), công việc cụ thể, có số điện thoại liên hệ",,Phụ làm rau
"🏖️ KHÔNG CÒN LÀM VIỆC NHÀM CHÁN: VỪA KIẾM TIỀN VỪA NGẮM BIỂN ĐÀ NẴNG! ☀️
Bạn đang tìm kiếm một công việc Part-time hoặc Full-time có View đẹp và Thu nhập thực tế cao hơn lương cứng?
NHÀ HÀNG HẢI SẢN CAO CẤP ĂN THÔI (290 Võ Nguyên Giáp - Địa điểm đắc địa ngay mặt biển) đang mở cửa chào đón bạn!
🎯 CÔNG VIỆC LÝ TƯỞNG CÓ NHỮNG GÌ?
Vị trí làm việc: Hàng ngày được hít thở không khí biển, giảm stress tối đa.
Thu nhập đột phá: Lương cứng + Tips Khách Cao Cấp + Thưởng (Tổng thu nhập rất cạnh tranh).
Cơ hội học hỏi: Trau dồi kỹ năng giao tiếp và ngoại ngữ (tiếp xúc khách du lịch Quốc tế).
🛠️ CHÚNG TÔI CẦN BỔ SUNG GẤP:
VỊ TRÍ FULL TIME (7h/1 ngày)
 Phục Vụ (Server): 19 người
           Lương từ : 5.5tr/1 tháng (7h/1 ngày)
Tiếp Thực (Runner): 8 người
Lương: 5.5tr/1 tháng (7h/1 ngày)
Lễ Tân (Receptionist): 3 người (Yêu cầu ngoại hình + Tiếng Anh/Hàn cơ bản)
Lương từ : 5.5tr/1 tháng (7h/1 ngày)
Pha Chế : 4 người
Lương từ: 5.5/1 tháng (7h/1 ngày)
CÁC VỊ TRÍ PART - TIME : lương từ 28.000 VNĐ/giờ. Phù hợp cho sinh viên muốn ""cày"" thêm thu nhập ổn định.
📩 ĐỂ LẠI DẤU CHÂN CỦA BẠN TRÊN BÃI BIỂN NÀY!
Đừng bỏ lỡ cơ hội làm việc trong môi trường 5 sao ngay tại Đà Nẵng.
Liên hệ (Zalo/SĐT) : 0795.718.374 (Phòng HCNS)
Hoặc gửi CV về Email: hr.vietnamtreasure@gmail.com
#ViệcLàmPartTimeĐàNẵng #TuyểnDụngĐàNẵng #JobViewBiển #LàmThêmLươngCao #ĂnThôiHảiSản",1,RECRUITMENT,"Địa chỉ cụ thể (Số nhà + Tên đường), công việc cụ thể, mức lương hợp lý",5.5 triệu,"Phục Vụ, Tiếp Thực, Lễ Tân, Pha Chế (Full Time), CÁC VỊ TRÍ PART - TIME (28.000 VNĐ/giờ)"
"Tuyển nhân viên nhà hàng Phố Xưa 1987
Vị Trí: 2 Nam 2 Nữ phục vụ
Lương: 25k/1h
Yêu cầu: Chăm chỉ trung thực, có ngoại hình là một lợi thế :3
Liên hệ: 0774564623
Địa Chỉ: 100 Bùi Tá Hán, Ngũ Hành Sơn, Đà Nẵng",1,RECRUITMENT,"Địa chỉ cụ thể (Số nhà + Tên đường + Quận), công việc rõ ràng, mức lương hợp lý",25k/h,Phục vụ
"BÁNH MÌ GHIỀN
HỆ THỐNG COFFEE, BÁNH MÌ
Tuyển Dụng
🍀 Vị trí: 
• Nhân viên pha chế Coffee 
     🥳  Số lượng: 06
    ⏰ Ca làm: Sáng, chiều, tối
• Nhân viên phục vụ Coffee 
     🥳  Số lượng: 12
    ⏰ Ca làm: Sáng, chiều, tối
 • Nhân viên phục vụ bánh mì
     🥳  Số lượng: 06
    ⏰ Ca làm: Sáng, chiều, tối
💰 Lương:
 • 18.000₫/h-22.000₫/h
📍 Địa chỉ: 11 Yersin, P.Ngũ Hành Sơn, TP Đà Nẵng
📞 Liên hệ: 0935090224 (Trinh)",1,RECRUITMENT,"Địa chỉ cụ thể (Số nhà + Tên đường + Phường + TP), công việc rõ ràng, mức lương hợp lý",18.000₫/h-22.000₫/h,"Nhân viên pha chế Coffee, Nhân viên phục vụ Coffee, Nhân viên phục vụ bánh mì"
"📣 TUYỂN CỘNG TÁC VIÊN PHÁT TỜ RƠI – 5 BUỔI/ TUẦN
Anh Ngữ Phản Xạ REX cần tuyển CTV phát tờ rơi làm cố định các buổi chiều trong tuần.
⏰ Thời gian:
👉 4:00 – 5:15 chiều (xong sớm được về sớm)
📍 Khu vực phát:
– Các trường tiểu học, mầm non lân cận trung tâm
💰 Quyền lợi:
– Thu nhập theo buổi
– Có thể nhận tiền ngay sau buổi làm nếu cần
– Công việc nhẹ, phù hợp học sinh – sinh viên
📍 Điểm tập trung:
633 Lê Văn Hiến – Anh Ngữ Phản Xạ REX
🎯 Yêu cầu:
– Nhiệt tình, đúng giờ
📞 Liên hệ đăng ký: 0334 535 916
Làm nhẹ – thời gian ngắn – nhận tiền nhanh. REX chào đón bạn! 🚀",1,RECRUITMENT,"Địa chỉ cụ thể (Số nhà + Tên đường), tên thương hiệu rõ ràng (Anh Ngữ Phản Xạ REX), thời gian làm việc rõ ràng, yêu cầu liên hệ trực tiếp qua số điện thoại",Thu nhập theo buổi,Cộng tác viên phát tờ rơi
"Quán bún đậu 1996 cần tuyển 1 nhân viên nữ 
 Thời gian:17-22h (full time)
Lương :18k/1h  
Địa chỉ: 358 Trần Địa Nghĩa -Hoà Hải -NHS
Liên hệ:0905421171-0935335847(ib)",1,RECRUITMENT,"Địa chỉ cụ thể (Số nhà + Tên đường + Phường/Xã), công việc rõ ràng, mức lương hợp lý",18k/h,Nhân viên nữ
"TUYỂN DỤNG :
* Heemang Chicken cần tuyển
- 4 Nam Phụ Bếp 
* Công việc : Phụ bếp Gà Rán Hàn Quốc
* Thời gian : 10h30- 23h
* Không có kinh nghiệm sẽ được đào tạo 
* Ưu tiên gắn bó lâu dài.
* Làm việc tại 358a Trần Đại Nghĩa
Liên hệ : 0905644883 (trao đổi công việc )",1,RECRUITMENT,"Địa chỉ rõ ràng (Số nhà + Tên đường), công việc cụ thể, không yêu cầu Inbox riêng, không có kinh nghiệm vẫn được đào tạo",,Phụ Bếp
